ZIP,In labor force,Construction extraction and maintenance occupations,Households Less than $10000,Households $10000 to $14999,Households $15000 to $24999,Households $25000 to $34999,Median household income (dollars),Mean Social Security income (dollars),Percent Families below poverty level ,Percent Individuals below poverty level,Less than 5th grade,5th to 8th grade,9th to 12th grade no diploma,High school graduate (incl. equivalency),Some college credit less than 1 year,1 or more years of college no degree,Associate degree,Bachelor's degree,Master's degree,Professional degree,Doctorate degree
6390,74.7,12.7,8.1,5.2,11.9,9.6,(X),13860,4.5,9,0.9,0.9,3.3,33.6,0.9,11.8,8.1,21.3,12.8,3.8,2.4
10001,66.1,2.4,15.5,5.9,12,10.7,(X),10790,18.8,21.9,2.8,4.4,8.5,16.6,3.4,10.6,3.7,31.7,12.3,4.3,1.9
10002,54.7,4.3,23.7,11.5,16,12.2,(X),8367,25.5,29.4,16.8,16.4,20,17.2,2.9,6.7,3.2,10.7,4.3,1.3,0.5
10003,74.9,1.9,9.5,3.8,6.9,9,(X),11908,4.6,12.2,1.1,1.5,4,8.5,2.9,9.1,2.7,39.6,18.7,8.3,3.5
10004,86.1,1.4,2.3,2.8,3,6.8,(X),30592,0,12.5,0,2.2,5.4,4.7,0,4.3,7.5,41.8,20.3,10.4,3.5
10005,85.4,0,7.4,1.8,4.9,5.6,(X),12814,0,9.2,1.7,0,3.3,1.7,4.7,11.9,2,46.5,15.5,11.7,1
10006,81.3,2.3,5.4,2,6.1,5.5,(X),6188,10.4,14.8,1.6,0.8,7.2,7.2,2.9,6.6,2.7,40.8,23.7,3.6,2.9
10007,62.9,2,3.8,2.1,5.9,8.6,(X),16832,1.4,5.4,1.6,3.9,20.7,5.4,2.4,7.7,1.4,26.5,19,9.2,2.2
10009,62.2,2.9,15.5,8.1,11,10.7,(X),10631,21.3,22.3,5.2,5.9,10.7,15.6,3.7,10,4.4,26.2,13.3,3.5,1.6
10010,71.4,0.7,8.3,3.2,6.3,8.1,(X),13100,5,9.1,0.4,1.1,3.4,8.6,2.6,9.7,2.9,36.1,21.5,10.5,3.1
10011,75,2.1,8.8,3.9,7.5,7.2,(X),11821,5,9.9,0.9,2.1,3.9,8.9,3,9,3.6,36.8,19.5,8.5,3.8
10012,71.5,2.3,10.5,5.3,9.1,7.5,(X),10358,8.9,13.8,3.8,4.6,5.1,9.3,2.4,8.3,2,34.7,18.4,5.4,6.2
10013,64.2,2.6,14.7,9,12.1,10.7,(X),8089,17.7,21,9.1,12.8,13.8,12,1.8,7.8,2,22.9,12.9,3.4,1.5
10014,79.6,1,6.3,3.8,7.4,8.1,(X),11923,2.3,6.2,0.4,1,2.7,7.1,2,9.3,3,41.7,20.5,8.1,4.1
10016,74.2,1.2,9,4,7,6.8,(X),12149,4.4,10.7,1,1.6,4,9,2.6,8.9,4.1,39.9,17.7,8.1,3.1
10017,77.9,0.4,7.2,3,5.9,7.6,(X),13578,4.8,7.5,0.1,0.1,2.2,7.5,2.9,9.8,3.4,41.7,20.1,8.7,3.6
10018,75.9,2.2,11.1,6.3,8.2,7.8,(X),8203,14.5,20.8,2.3,5.8,8.9,15.4,2.8,11.1,2.4,30.7,14.9,3.7,2
10019,72.8,1.3,11.2,4.7,7.9,9.3,(X),10520,10.2,12.9,1.4,2.7,6.2,11.8,3.2,9.5,3.7,35.1,16.6,7.6,2.3
10020,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
10021,72.4,0.8,5.5,3,5.5,6.3,(X),14080,2.1,5.2,0.4,1.1,2.2,7.3,2.1,8.8,2.9,38.4,20.5,12.2,4.1
