ZIP,Total population,Percent White,Percent Black,Percent American Indian,Percent Asian,Percent Hispanic,Vacant housing units,Owner-occupied housing units,Average household size of renter-occupied units
6390,236,96.2,0.8,0,0.8,0.8,0.6,48.3,1.94
10001,21102,65,9,0.4,16.8,17.3,6.1,25.7,1.7
10002,81410,31.3,8.4,0.5,46.6,25.3,2.3,15.4,2.48
10003,56024,76.4,3.5,0.2,14.4,8,2.5,29.4,1.59
10004,3089,70.2,3.1,0.3,21.2,6.1,2.7,26.4,1.73
10005,7135,70.1,3.4,0.1,20.7,7.4,3.9,15.5,1.64
10006,3011,69.3,4.5,0.1,19.6,8.2,3.3,16.4,1.69
10007,6988,75.6,6.7,0.1,12.6,10.2,2.6,29.1,1.93
10009,61347,62.1,9.8,0.5,13.7,26,3,8.5,2
10010,31834,73.8,5.9,0.2,14.4,9.5,2.9,25.6,1.67
10011,50984,80.3,4.6,0.2,8.9,11.5,2.2,34.4,1.55
10012,24090,75.6,2.5,0.1,16.5,8,3.7,19.6,1.65
10013,27700,55.6,3.8,0.1,36.1,5.4,3.5,26.6,2.03
10014,31959,87.9,2.1,0.2,5.9,6.4,2.5,26.9,1.49
10016,54183,74.8,4,0.2,16.6,8.1,3.2,24.7,1.61
10017,16575,75.4,3.3,0.1,17.7,6.5,3.2,36.3,1.48
10018,5229,57,7.6,0.3,25.7,18.1,26.1,14.2,1.62
10019,42870,69.3,5.5,0.3,16.7,15.7,3.8,17.8,1.63
10020,0,(X),(X),(X),(X),(X),(X),(X),0
10021,43631,88,1.8,0.1,7.3,5.4,2.4,40.4,1.57
10022,31924,86.4,1.9,0.1,9,5.4,3.4,47.4,1.53
10023,60998,81.5,4.7,0.2,9,8.4,2.6,37.3,1.64
10024,59283,83,5.7,0.2,5.5,10.7,2.8,33.3,1.73
10025,94600,64.9,14.3,0.4,8.2,22.2,2.9,24.6,1.93
10026,34003,22,58.7,0.8,4.3,22.5,4.6,19.3,2.33
10027,59707,31.1,44.2,0.8,7.6,26.1,4.7,13,2.27
10028,45141,87.7,1.7,0.1,7.4,5.4,3.4,33.1,1.62
10029,76003,32.6,31.5,1.1,6.9,52.4,3.7,6.9,2.47
10030,26999,11,71.9,0.9,1.6,22.5,6.3,10,2.3
10031,56438,24.8,33.5,1.3,2.5,58.4,4.5,10.3,2.76
10032,57331,28.3,22.1,1.6,3.5,69.6,4.1,7.5,2.83
10033,53926,42.5,9.7,1.3,2.3,70,3.4,10.4,2.87
10034,38908,37.4,12.9,1.5,2.3,72.2,3.4,9.1,2.63
10035,33969,25.1,43.6,1.3,3.1,50,5.1,9.3,2.46
