Rank	State	CITY	AIRPORT-FAA	CY2006Boarding
1	GA	Atlanta	Hartsfield-Jackson Atlanta International Airport	ATL	41,352,038
2	IL	Chicago	O'Hare International Airport	ORD	36,825,097
3	CA	Los Angeles	Los Angeles International Airport	LAX	29,357,327
4	TX	Dallas	Dallas/Fort Worth International Airport	DFW	28,627,749
5	CO	Denver	Denver International Airport	DEN	22,822,111
6	NV	Las Vegas	McCarran International Airport	LAS	22,028,521
7	NY	New York City	John F. Kennedy International Airport	JFK	21,071,501
8	AZ	Phoenix	Phoenix Sky Harbor International Airport	PHX	20,591,909
9	TX	Houston	George Bush Intercontinental Airport	IAH	20,479,291
10	NJ	Newark	Newark Liberty International Airport	EWR	17,804,107
11	MI	Detroit	Detroit Metropolitan Wayne County Airport	DTW	17,483,468
12	MN	Minneapolis - St. Paul	Minneapolis-Saint Paul International Airport/Wold-Chamberlain	MSP	17,192,410
13	FL	Orlando	Orlando International Airport	MCO	16,807,534
14	CA	San Francisco	San Francisco International Airport	SFO	16,236,592
15	FL	Miami	Miami International Airport	MIA	15,664,791
16	PA	Philadelphia	Philadelphia International Airport	PHL	15,390,848
17	NC	Charlotte	Charlotte/Douglas International Airport	CLT	14,749,568
18	WA	Seattle	Seattle-Tacoma International Airport	SEA	14,703,928
19	MA	Boston	Logan International Airport	BOS	13,544,552
20	NY	New York City	LaGuardia Airport	LGA	12,925,697
21	VA	Washington, DC	Washington Dulles International Airport	IAD	11,045,217
22	MD	Baltimore	Baltimore-Washington International Thurgood Marshall Airport	BWI	10,297,607
23	UT	Salt Lake City	Salt Lake City International Airport	SLC	10,289,129
24	FL	Fort Lauderdale	Fort Lauderdale-Hollywood International Airport	FLL	10,204,579
25	HI	Honolulu	Honolulu International Airport	HNL	9,855,838
26	WI	Milwaukee	General Mitchell International Airport	MKE	9,848,377
27	FL	Tampa	Tampa International Airport	TPA	9,187,865
28	VA	Washington, DC	Ronald Reagan Washington National Airport	DCA	8,973,410
29	IL	Chicago	Chicago Midway International Airport	MDW	8,915,292
30	CA	San Diego	San Diego International Airport	SAN	8,724,442
31	KY	Cincinnati	Cincinnati/Northern Kentucky International Airport	CVG	7,984,074
32	CA	Oakland	Oakland International Airport	OAK	7,076,936
33	MO	St. Louis	Lambert-St. Louis International Airport	STL	7,037,400
34	OR	Portland, Oregon	Portland International Airport	PDX	6,956,712
35	TN	Memphis	Memphis International Airport	MEM	5,508,235
36	MO	Kansas City	Kansas City International Airport	MCI	5,466,672
37	OH	Cleveland	Cleveland Hopkins International Airport	CLE	5,447,482
38	CA	San Jose, California	San Jose International Airport	SJC	5,283,407
39	CA	Sacramento	Sacramento International Airport	SMF	5,182,641
40	PA	Pittsburgh	Pittsburgh International Airport	PIT	4,946,256
41	TN	Nashville	Nashville International Airport	BNA	4,779,474
42	CA	Orange County	John Wayne Airport	SNA	4,777,896
43	NC	Raleigh	Raleigh-Durham International Airport	RDU	4,706,587
44	TX	Houston	William P. Hobby Airport	HOU	4,115,021
45	IN	Indianapolis	Indianapolis International Airport	IND	4,008,638
46	TX	Austin, Texas	Austin-Bergstrom International Airport	AUS	3,945,020
47	TX	San Antonio	San Antonio International Airport	SAT	3,915,428
48	FL	Fort Myers	Southwest Florida International Airport	RSW	3,764,223
49	TX	Dallas	Dallas Love Field	DAL	3,443,537
50	FL	Palm Beach	Palm Beach International Airport	PBI	3,418,310
51	CT	Hartford - Springfield	Bradley International Airport	BDL	3,409,938
52	CA	Ontario	LA/Ontario International Airport	ONT	3,404,361
53	OH	Columbus	Port Columbus International Airport	CMH	3,336,994
54	NM	Albuquerque	Albuquerque International Sunport	ABQ	3,176,299
55	LA	New Orleans	Louis Armstrong New Orleans International Airport	MSY	3,127,963
56	HI	Kahului	Kahului Airport	OGG	3,027,106
57	FL	Jacksonville	Jacksonville International Airport	JAX	2,971,953
58	CA	Burbank	Bob Hope Airport	BUR	2,836,413
59	RI	Providence	Theodore Francis Green Airport	PVD	2,588,992
60	NY	Buffalo	Buffalo Niagara International Airport	BUF	2,522,123
61	NV	Reno	Reno-Tahoe International Airport	RNO	2,441,502
62	AK	Anchorage	Ted Stevens Anchorage International Airport	ANC	2,367,390
63	AZ	Tucson	Tucson International Airport	TUS	2,090,514
64	NE	Omaha	Eppley Airfield	OMA	2,075,306
65	NH	Manchester, New Hampshire	Manchester-Boston Regional Airport	MHT	1,931,563
66	VA	Norfolk	Norfolk International Airport	ORF	1,862,325
67	KY	Louisville	Louisville International Airport-Standiford Field	SDF	1,836,260
68	OK	Oklahoma City	Will Rogers World Airport	OKC	1,799,977
69	TX	El Paso	El Paso International Airport	ELP	1,658,102
70	ID	Boise	Boise Airport/Gowen Field	BOI	1,656,677
71	VA	Richmond	Richmond International Airport	RIC	1,644,419
72	WA	Spokane	Spokane International Airport	GEG	1,605,069
73	OK	Tulsa	Tulsa International Airport	TUL	1,599,853
74	AL	Birmingham	Birmingham-Shuttlesworth International Airport	BHM	1,551,339
75	HI	Kailua Kona	Kona International Airport	KOA	1,450,717
76	NY	Albany	Albany International Airport	ALB	1,443,360
77	NY	Rochester	Greater Rochester International Airport	ROC	1,417,039
78	GU	Agana, Guam	Antonio B. Won Pat International Airport	GUM	1,416,354
79	FL	Pensacola	Pensacola Regional Airport	PNS	1,410,201
80	CA	Long Beach	Long Beach Airport (Daugherty Field)	LGB	1,343,151
81	HI	Lihue	Lihue Airport	LIH	1,331,432
82	OH	Dayton	Dayton International Airport	DAY	1,303,779
83	AR	Little Rock	Little Rock National Airport (Adams Field)	LIT	1,236,223
84	NY	Islip	Long Island MacArthur Airport	ISP	1,138,061
85	NY	Syracuse	Syracuse Hancock International Airport	SYR	1,128,483
86	AR	Bentonville	Northwest Arkasnas Regional	XNA	1,084,471
87	MI	Grand Rapids	Gerald R. Ford International Airport	GRR	1,005,586
88	CO	Colorado Springs	Colorado Springs Airport	COS	997,763
89	GA	Savannah	Savannah/Hilton Head International Airport	SAV	950,904
90	IA	Des Moines	Des Moines International Airport	DSM	947,393
91	SC	Charleston	Charleston International Airport/AFB	CHS	944,143
92	FL	Orlando	Orlando Sanford International Airport	SFB	915,135
93	MO	Springfield	Springfield-Branson National Airport	SGF	864,999
94	TN	Knoxville	McGhee Tyson Airport	TYS	815,130
95	WI	Madison	Dane County Regional Airport-Truax Field	MSN	803,503
96	CA	Palm Springs	Palm Springs International Airport	PSP	771,867
97	SC	Greenville-Spartanburg	Greenville-Spartanburg International Airport	GSP	756,490
98	MS	Jackson	Jackson-Evers International Airport	JAN	727,658
99	AL	Huntsville	Huntsville International Airport	HSV	712,379
100	KS	Wichita	New Wichita Mid-Continent Airport	ICT	0
