ATL "Atlanta, GA"
ORD "Chicago, IL"
LAX "Los Angeles, CA"
DFW "Dallas, TX" 
DEN "Denver, CO" 
LAS "Las Vegas, NV"
JFK "New York, NY"
PHX "Phoenix, AZ" 
IAH "Houston, TX"
EWR "Newark, NJ"
DTW "Michigan"
MSP "Minneapolis, MN"
MCO "Orlando, FL"
SFO "San Francisco, CA"
MIA "Miami, FL"
PHL "Philadelphia, PA"
CLT "Charlotte, NC"
SEA "Seattle, WA"
BOS "Boston, MA"
LGA "New York, NY"
IAD "Reston, VA"
BWI "Baltimore, MD"
SLC "Salt Lake City, UT"
FLL "Miami, FL"
HNL "Honolulu, HI"
MKE "Milwaukee, WI"
TPA "Tampa, FL"
DCA "Washington, DC"
MDW "Chicago, IL"
SAN "San Diego, CA"
CVG "Cincinnati, OH"
OAK "Oakland, CA"
STL "St Louis, MO"
PDX "Portland, OR"
MEM "Memphis, TN"
MCI "Kansas City, MO"
CLE "Cleveland, OH"
SJC "San Jose, CA"
SMF "Sacramento, CA"
PIT "Pittsburgh, PA"
BNA "Nashville, TN"
SNA "Los Angeles, CA"
RDU "Raleigh, NC"
HOU "Houston, TX"
IND "Indianapolis, IN"
AUS "Austin, TX"
SAT "San Antonio, TX"
RSW "Tampa, FL" 
DAL "Dallas, TX"
PBI "Miami, FL"
BDL "Connecticut"
ONT "Los Angeles, CA"
CMH "Columbus, OH"
ABQ "Albuquerque, NM"
MSY "New Orleans, LA"
OGG "Hawaii"
JAX "Jacksonville, FL"
BUR "Los Angeles, CA" 
PVD "Providence, RI"
BUF "Buffalo, NY"
RNO "Reno, NV"
ANC "Anchorage, AK"
TUS "Tucson, AZ"
OMA "Omaha, NE"
MHT "Boston, MA"
ORF "Norfolk, VA" 
SDF "Louisville, KY"
OKC "Oklahoma City, OK"
ELP "Texas"
BOI "Boise, ID"
RIC "Richmond, VA"
GEG "Spokane, WA"
TUL "Tulsa, OK"
BHM "Birmingham, AL" 
KOA "Hawaii"
ALB "Albany, NY"
ROC "Rochester, NY" 
PNS "Florida"
LGB "Los Angeles, CA"
LIH "Hawaii" 
DAY "Dayton, OH"
LIT "Little Rock, AR"
ISP "New York, NY"
SYR "Syracuse, NY"
XNA "Arkansas"
GRR "Grand Rapids, MI"
COS "Colorado Springs, CO" 
SAV "Georgia"
DSM "Des Moines, IA"
CHS "South Carolina"
SFB "Orlando, FL"
SGF "Springfield, MO"
TYS "Knoxville, TN" 
MSN "Madison, WI"
PSP "California"
GSP "South Carolina"
JAN "Jackson, MS" 
HSV "Alabama"
ICT "Wichita, KS"
